GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
itf-jupiter-extension,com.soebes.itf.jupiter.extension.condition,EnabledForMavenVersionCondition,57,0,4,0,13,0,5,0,3,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension.condition,DisabledForMavenVersionCondition,57,0,4,0,13,0,5,0,3,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,AnnotationHelper,272,0,28,0,42,0,33,0,19,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,ModelReader,0,36,0,4,0,10,0,6,0,4
itf-jupiter-extension,com.soebes.itf.jupiter.extension,StorageHelper,110,0,0,0,19,0,7,0,7,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,DirectoryHelper,21,0,0,0,3,0,3,0,3,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,MavenVersion,205,0,2,0,27,0,8,0,7,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,MavenITExtension,567,0,28,0,111,0,30,0,16,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,Storage,34,0,0,0,4,0,1,0,1,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,MavenLocator,2,176,3,17,1,43,3,20,0,13
itf-jupiter-extension,com.soebes.itf.jupiter.extension,StringInterpolator,0,61,0,4,0,14,0,5,0,3
itf-jupiter-extension,com.soebes.itf.jupiter.extension,ApplicationExecutor,217,0,0,0,34,0,7,0,7,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,Preconditions,0,30,0,6,0,9,0,6,0,3
itf-jupiter-extension,com.soebes.itf.jupiter.extension,PropertiesFilter,0,26,0,0,0,7,0,2,0,2
itf-jupiter-extension,com.soebes.itf.jupiter.extension,ParameterType,70,0,0,0,10,0,3,0,3,0
itf-jupiter-extension,com.soebes.itf.jupiter.extension,DirectoryResolverResult,247,0,8,0,49,0,15,0,11,0
